module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
AgenticSRE,bgr-agent-morgan-sre,Wake Morgan (SRE Lead),MG,SRE Lead for observability incident response SLO/SLI definition and production resilience.,,3-solutioning,,,false,,
AgenticSRE,bgr-agent-riley-devops,Wake Riley (DevOps Lead),RL,DevOps Lead for infrastructure-as-code CI/CD pipeline design and deployment strategy.,,3-solutioning,,,false,,
AgenticSRE,bgr-3-create-observability,Create Observability Plan,CO,Guided workflow to define metrics logging tracing dashboards SLOs and alerting strategy.,,3-solutioning,bmad-create-architecture,,true,bgr_artifacts,observability plan
AgenticSRE,bgr-3-create-incident-response,Create Incident Response Plan,CR,Guided workflow to define severity classification runbooks on-call procedures and postmortem templates.,,3-solutioning,bgr-3-create-observability,,false,bgr_artifacts,incident response plan
AgenticSRE,bgr-3-create-disaster-recovery,Create Disaster Recovery Plan,CD,Guided workflow to define RTO/RPO targets backup and restore procedures geographic failover and DR runbooks.,,3-solutioning,bgr-3-create-infrastructure,,false,bgr_artifacts,disaster recovery plan
AgenticSRE,bgr-3-create-infrastructure,Create Infrastructure Plan,CI,Guided workflow to define IaC strategy environment topology container orchestration and drift management.,,3-solutioning,bmad-create-architecture,,true,bgr_artifacts,infrastructure plan
AgenticSRE,bgr-3-create-capacity-plan,Create Capacity Plan,CC,Guided workflow to define growth modeling auto-scaling policies resource scaling triggers and capacity validation.,,3-solutioning,bgr-3-create-infrastructure,,false,bgr_artifacts,capacity plan
AgenticSRE,bgr-3-create-cost-optimization-plan,Create Cost Optimization Plan,CF,Guided workflow to define FinOps strategy resource right-sizing reserved/spot instance strategy cost tagging anomaly detection and budget alerts.,,3-solutioning,bgr-3-create-infrastructure,,false,bgr_artifacts,cost optimization plan
AgenticSRE,bgr-3-create-pipeline,Create Pipeline Plan,CP,Guided workflow to design CI/CD pipeline architecture stages deployment strategy and release gates.,,3-solutioning,bgr-3-create-infrastructure,,true,bgr_artifacts,pipeline plan
AgenticSRE,bgr-3-create-resilience-plan,Create Resilience Testing Plan,CT,Guided workflow to define steady-state hypotheses failure scenarios chaos experiments and game day procedures.,,3-solutioning,bgr-3-create-incident-response,,false,bgr_artifacts,resilience testing plan
AgenticSRE,bgr-agent-sam-security,Wake Sam (Security Lead),SE,Security Lead for threat modeling compliance mapping security architecture and supply chain security.,,3-solutioning,,,false,,
AgenticSRE,bgr-3-create-chaos-gameday-plan,Create Chaos Game Day Plan,CG,Guided workflow to plan chaos engineering game days with hypothesis-driven experiments blast radius controls safety gates and post-game analysis.,,3-solutioning,bgr-3-create-observability,,false,bgr_artifacts,chaos game day plan
AgenticSRE,bgr-3-create-security-plan,Create Security Plan,CS,Guided workflow to define threat model security controls auth strategy data protection and compliance mapping.,,3-solutioning,bmad-create-architecture,,true,bgr_artifacts,security plan
AgenticSRE,bgr-ops-review,Operations Review,OR,Cross-agent review that lints all BGreat artifacts for consistency coverage gaps and staleness.,,3-solutioning,,,false,bgr_artifacts,ops review report
AgenticSRE,bgr-4-incident-triage,Triage Incident,IT,Live incident triage that gathers evidence from observability tools classifies severity against the incident response plan ranks hypotheses proposes mitigations drafts status updates and hands off to ticketing and postmortem.,,anytime,,,false,bgr_incidents,incident triage record
AgenticSRE,bgr-4-postmortem,Run Postmortem,PM,Blameless postmortem that verifies timeline and impact analyses trigger conditions detection and response factors derives owned measurable action items files them as tickets and publishes the result.,,anytime,bgr-4-incident-triage,,false,bgr_incidents,postmortem
AgenticSRE,bgr-4-oncall-handoff,On-Call Handoff,HO,On-call shift handoff that gathers active incidents firing and flapping alerts recent and upcoming changes and open tickets prioritises them writes the handoff note and records the incoming engineer acknowledgement.,,anytime,,,false,bgr_incidents,handoff note
